Information,Value/Round/Position,Value/Team/Position,Value/Team
Game Stage,End of Season
Salary Cap (in tens of thousands),13300
Minimum Salary (in thousands),44
Draft Order,1,1,0
Draft Order,1,2,1
Draft Order,1,3,2
Draft Order,1,4,3
Draft Order,1,5,4
Draft Order,1,6,5
Draft Order,1,7,6
Draft Order,1,8,7
Draft Order,1,9,8
Draft Order,1,10,9
Draft Order,1,11,10
Draft Order,1,12,11
Draft Order,1,13,12
Draft Order,1,14,13
Draft Order,1,15,14
Draft Order,1,16,15
Draft Order,1,17,16
Draft Order,1,18,17
Draft Order,1,19,18
Draft Order,1,20,19
Draft Order,1,21,20
Draft Order,1,22,21
Draft Order,1,23,22
Draft Order,1,24,23
Draft Order,1,25,24
Draft Order,1,26,25
Draft Order,1,27,26
Draft Order,1,28,27
Draft Order,1,29,28
Draft Order,1,30,29
Draft Order,1,31,30
Draft Order,1,32,31
Draft Order,2,1,0
Draft Order,2,2,1
Draft Order,2,3,2
Draft Order,2,4,3
Draft Order,2,5,4
Draft Order,2,6,5
Draft Order,2,7,6
Draft Order,2,8,7
Draft Order,2,9,8
Draft Order,2,10,9
Draft Order,2,11,10
Draft Order,2,12,11
Draft Order,2,13,12
Draft Order,2,14,13
Draft Order,2,15,14
Draft Order,2,16,15
Draft Order,2,17,16
Draft Order,2,18,17
Draft Order,2,19,18
Draft Order,2,20,19
Draft Order,2,21,20
Draft Order,2,22,21
Draft Order,2,23,22
Draft Order,2,24,23
Draft Order,2,25,24
Draft Order,2,26,25
Draft Order,2,27,26
Draft Order,2,28,27
Draft Order,2,29,28
Draft Order,2,30,29
Draft Order,2,31,30
Draft Order,2,32,31
Draft Order,3,1,0
Draft Order,3,2,1
Draft Order,3,3,2
Draft Order,3,4,3
Draft Order,3,5,4
Draft Order,3,6,5
Draft Order,3,7,6
Draft Order,3,8,7
Draft Order,3,9,8
Draft Order,3,10,9
Draft Order,3,11,10
Draft Order,3,12,11
Draft Order,3,13,12
Draft Order,3,14,13
Draft Order,3,15,14
Draft Order,3,16,15
Draft Order,3,17,16
Draft Order,3,18,17
Draft Order,3,19,18
Draft Order,3,20,19
Draft Order,3,21,20
Draft Order,3,22,21
Draft Order,3,23,22
Draft Order,3,24,23
Draft Order,3,25,24
Draft Order,3,26,25
Draft Order,3,27,26
Draft Order,3,28,27
Draft Order,3,29,28
Draft Order,3,30,29
Draft Order,3,31,30
Draft Order,3,32,31
Draft Order,4,1,0
Draft Order,4,2,1
Draft Order,4,3,2
Draft Order,4,4,3
Draft Order,4,5,4
Draft Order,4,6,5
Draft Order,4,7,6
Draft Order,4,8,7
Draft Order,4,9,8
Draft Order,4,10,9
Draft Order,4,11,10
Draft Order,4,12,11
Draft Order,4,13,12
Draft Order,4,14,13
Draft Order,4,15,14
Draft Order,4,16,15
Draft Order,4,17,16
Draft Order,4,18,17
Draft Order,4,19,18
Draft Order,4,20,19
Draft Order,4,21,20
Draft Order,4,22,21
Draft Order,4,23,22
Draft Order,4,24,23
Draft Order,4,25,24
Draft Order,4,26,25
Draft Order,4,27,26
Draft Order,4,28,27
Draft Order,4,29,28
Draft Order,4,30,29
Draft Order,4,31,30
Draft Order,4,32,31
Draft Order,5,1,0
Draft Order,5,2,1
Draft Order,5,3,2
Draft Order,5,4,3
Draft Order,5,5,4
Draft Order,5,6,5
Draft Order,5,7,6
Draft Order,5,8,7
Draft Order,5,9,8
Draft Order,5,10,9
Draft Order,5,11,10
Draft Order,5,12,11
Draft Order,5,13,12
Draft Order,5,14,13
Draft Order,5,15,14
Draft Order,5,16,15
Draft Order,5,17,16
Draft Order,5,18,17
Draft Order,5,19,18
Draft Order,5,20,19
Draft Order,5,21,20
Draft Order,5,22,21
Draft Order,5,23,22
Draft Order,5,24,23
Draft Order,5,25,24
Draft Order,5,26,25
Draft Order,5,27,26
Draft Order,5,28,27
Draft Order,5,29,28
Draft Order,5,30,29
Draft Order,5,31,30
Draft Order,5,32,31
Draft Order,6,1,0
Draft Order,6,2,1
Draft Order,6,3,2
Draft Order,6,4,3
Draft Order,6,5,4
Draft Order,6,6,5
Draft Order,6,7,6
Draft Order,6,8,7
Draft Order,6,9,8
Draft Order,6,10,9
Draft Order,6,11,10
Draft Order,6,12,11
Draft Order,6,13,12
Draft Order,6,14,13
Draft Order,6,15,14
Draft Order,6,16,15
Draft Order,6,17,16
Draft Order,6,18,17
Draft Order,6,19,18
Draft Order,6,20,19
Draft Order,6,21,20
Draft Order,6,22,21
Draft Order,6,23,22
Draft Order,6,24,23
Draft Order,6,25,24
Draft Order,6,26,25
Draft Order,6,27,26
Draft Order,6,28,27
Draft Order,6,29,28
Draft Order,6,30,29
Draft Order,6,31,30
Draft Order,6,32,31
Draft Order,7,1,0
Draft Order,7,2,1
Draft Order,7,3,2
Draft Order,7,4,3
Draft Order,7,5,4
Draft Order,7,6,5
Draft Order,7,7,6
Draft Order,7,8,7
Draft Order,7,9,8
Draft Order,7,10,9
Draft Order,7,11,10
Draft Order,7,12,11
Draft Order,7,13,12
Draft Order,7,14,13
Draft Order,7,15,14
Draft Order,7,16,15
Draft Order,7,17,16
Draft Order,7,18,17
Draft Order,7,19,18
Draft Order,7,20,19
Draft Order,7,21,20
Draft Order,7,22,21
Draft Order,7,23,22
Draft Order,7,24,23
Draft Order,7,25,24
Draft Order,7,26,25
Draft Order,7,27,26
Draft Order,7,28,27
Draft Order,7,29,28
Draft Order,7,30,29
Draft Order,7,31,30
Draft Order,7,32,31
Draft Pick Owner - This Year,1,1,0
Draft Pick Owner - This Year,1,2,1
Draft Pick Owner - This Year,1,3,2
Draft Pick Owner - This Year,1,4,3
Draft Pick Owner - This Year,1,5,4
Draft Pick Owner - This Year,1,6,5
Draft Pick Owner - This Year,1,7,6
Draft Pick Owner - This Year,1,8,7
Draft Pick Owner - This Year,1,9,8
Draft Pick Owner - This Year,1,10,9
Draft Pick Owner - This Year,1,11,10
Draft Pick Owner - This Year,1,12,11
Draft Pick Owner - This Year,1,13,12
Draft Pick Owner - This Year,1,14,13
Draft Pick Owner - This Year,1,15,14
Draft Pick Owner - This Year,1,16,15
Draft Pick Owner - This Year,1,17,16
Draft Pick Owner - This Year,1,18,17
Draft Pick Owner - This Year,1,19,18
Draft Pick Owner - This Year,1,20,19
Draft Pick Owner - This Year,1,21,20
Draft Pick Owner - This Year,1,22,21
Draft Pick Owner - This Year,1,23,22
Draft Pick Owner - This Year,1,24,23
Draft Pick Owner - This Year,1,25,24
Draft Pick Owner - This Year,1,26,25
Draft Pick Owner - This Year,1,27,26
Draft Pick Owner - This Year,1,28,27
Draft Pick Owner - This Year,1,29,28
Draft Pick Owner - This Year,1,30,29
Draft Pick Owner - This Year,1,31,30
Draft Pick Owner - This Year,1,32,31
Draft Pick Owner - This Year,2,1,0
Draft Pick Owner - This Year,2,2,1
Draft Pick Owner - This Year,2,3,2
Draft Pick Owner - This Year,2,4,3
Draft Pick Owner - This Year,2,5,4
Draft Pick Owner - This Year,2,6,5
Draft Pick Owner - This Year,2,7,6
Draft Pick Owner - This Year,2,8,7
Draft Pick Owner - This Year,2,9,8
Draft Pick Owner - This Year,2,10,9
Draft Pick Owner - This Year,2,11,10
Draft Pick Owner - This Year,2,12,11
Draft Pick Owner - This Year,2,13,12
Draft Pick Owner - This Year,2,14,13
Draft Pick Owner - This Year,2,15,14
Draft Pick Owner - This Year,2,16,15
Draft Pick Owner - This Year,2,17,16
Draft Pick Owner - This Year,2,18,17
Draft Pick Owner - This Year,2,19,18
Draft Pick Owner - This Year,2,20,19
Draft Pick Owner - This Year,2,21,20
Draft Pick Owner - This Year,2,22,21
Draft Pick Owner - This Year,2,23,22
Draft Pick Owner - This Year,2,24,23
Draft Pick Owner - This Year,2,25,24
Draft Pick Owner - This Year,2,26,25
Draft Pick Owner - This Year,2,27,26
Draft Pick Owner - This Year,2,28,27
Draft Pick Owner - This Year,2,29,28
Draft Pick Owner - This Year,2,30,29
Draft Pick Owner - This Year,2,31,30
Draft Pick Owner - This Year,2,32,31
Draft Pick Owner - This Year,3,1,0
Draft Pick Owner - This Year,3,2,1
Draft Pick Owner - This Year,3,3,2
Draft Pick Owner - This Year,3,4,3
Draft Pick Owner - This Year,3,5,4
Draft Pick Owner - This Year,3,6,5
Draft Pick Owner - This Year,3,7,6
Draft Pick Owner - This Year,3,8,7
Draft Pick Owner - This Year,3,9,8
Draft Pick Owner - This Year,3,10,9
Draft Pick Owner - This Year,3,11,10
Draft Pick Owner - This Year,3,12,11
Draft Pick Owner - This Year,3,13,12
Draft Pick Owner - This Year,3,14,13
Draft Pick Owner - This Year,3,15,14
Draft Pick Owner - This Year,3,16,15
Draft Pick Owner - This Year,3,17,16
Draft Pick Owner - This Year,3,18,17
Draft Pick Owner - This Year,3,19,18
Draft Pick Owner - This Year,3,20,19
Draft Pick Owner - This Year,3,21,20
Draft Pick Owner - This Year,3,22,21
Draft Pick Owner - This Year,3,23,22
Draft Pick Owner - This Year,3,24,23
Draft Pick Owner - This Year,3,25,24
Draft Pick Owner - This Year,3,26,25
Draft Pick Owner - This Year,3,27,26
Draft Pick Owner - This Year,3,28,27
Draft Pick Owner - This Year,3,29,28
Draft Pick Owner - This Year,3,30,29
Draft Pick Owner - This Year,3,31,30
Draft Pick Owner - This Year,3,32,31
Draft Pick Owner - This Year,4,1,0
Draft Pick Owner - This Year,4,2,1
Draft Pick Owner - This Year,4,3,2
Draft Pick Owner - This Year,4,4,3
Draft Pick Owner - This Year,4,5,4
Draft Pick Owner - This Year,4,6,5
Draft Pick Owner - This Year,4,7,6
Draft Pick Owner - This Year,4,8,7
Draft Pick Owner - This Year,4,9,8
Draft Pick Owner - This Year,4,10,9
Draft Pick Owner - This Year,4,11,10
Draft Pick Owner - This Year,4,12,11
Draft Pick Owner - This Year,4,13,12
Draft Pick Owner - This Year,4,14,13
Draft Pick Owner - This Year,4,15,14
Draft Pick Owner - This Year,4,16,15
Draft Pick Owner - This Year,4,17,16
Draft Pick Owner - This Year,4,18,17
Draft Pick Owner - This Year,4,19,18
Draft Pick Owner - This Year,4,20,19
Draft Pick Owner - This Year,4,21,20
Draft Pick Owner - This Year,4,22,21
Draft Pick Owner - This Year,4,23,22
Draft Pick Owner - This Year,4,24,23
Draft Pick Owner - This Year,4,25,24
Draft Pick Owner - This Year,4,26,25
Draft Pick Owner - This Year,4,27,26
Draft Pick Owner - This Year,4,28,27
Draft Pick Owner - This Year,4,29,28
Draft Pick Owner - This Year,4,30,29
Draft Pick Owner - This Year,4,31,30
Draft Pick Owner - This Year,4,32,31
Draft Pick Owner - This Year,5,1,0
Draft Pick Owner - This Year,5,2,1
Draft Pick Owner - This Year,5,3,2
Draft Pick Owner - This Year,5,4,3
Draft Pick Owner - This Year,5,5,4
Draft Pick Owner - This Year,5,6,5
Draft Pick Owner - This Year,5,7,6
Draft Pick Owner - This Year,5,8,7
Draft Pick Owner - This Year,5,9,8
Draft Pick Owner - This Year,5,10,9
Draft Pick Owner - This Year,5,11,10
Draft Pick Owner - This Year,5,12,11
Draft Pick Owner - This Year,5,13,12
Draft Pick Owner - This Year,5,14,13
Draft Pick Owner - This Year,5,15,14
Draft Pick Owner - This Year,5,16,15
Draft Pick Owner - This Year,5,17,16
Draft Pick Owner - This Year,5,18,17
Draft Pick Owner - This Year,5,19,18
Draft Pick Owner - This Year,5,20,19
Draft Pick Owner - This Year,5,21,20
Draft Pick Owner - This Year,5,22,21
Draft Pick Owner - This Year,5,23,22
Draft Pick Owner - This Year,5,24,23
Draft Pick Owner - This Year,5,25,24
Draft Pick Owner - This Year,5,26,25
Draft Pick Owner - This Year,5,27,26
Draft Pick Owner - This Year,5,28,27
Draft Pick Owner - This Year,5,29,28
Draft Pick Owner - This Year,5,30,29
Draft Pick Owner - This Year,5,31,30
Draft Pick Owner - This Year,5,32,31
Draft Pick Owner - This Year,6,1,0
Draft Pick Owner - This Year,6,2,1
Draft Pick Owner - This Year,6,3,2
Draft Pick Owner - This Year,6,4,3
Draft Pick Owner - This Year,6,5,4
Draft Pick Owner - This Year,6,6,5
Draft Pick Owner - This Year,6,7,6
Draft Pick Owner - This Year,6,8,7
Draft Pick Owner - This Year,6,9,8
Draft Pick Owner - This Year,6,10,9
Draft Pick Owner - This Year,6,11,10
Draft Pick Owner - This Year,6,12,11
Draft Pick Owner - This Year,6,13,12
Draft Pick Owner - This Year,6,14,13
Draft Pick Owner - This Year,6,15,14
Draft Pick Owner - This Year,6,16,15
Draft Pick Owner - This Year,6,17,16
Draft Pick Owner - This Year,6,18,17
Draft Pick Owner - This Year,6,19,18
Draft Pick Owner - This Year,6,20,19
Draft Pick Owner - This Year,6,21,20
Draft Pick Owner - This Year,6,22,21
Draft Pick Owner - This Year,6,23,22
Draft Pick Owner - This Year,6,24,23
Draft Pick Owner - This Year,6,25,24
Draft Pick Owner - This Year,6,26,25
Draft Pick Owner - This Year,6,27,26
Draft Pick Owner - This Year,6,28,27
Draft Pick Owner - This Year,6,29,28
Draft Pick Owner - This Year,6,30,29
Draft Pick Owner - This Year,6,31,30
Draft Pick Owner - This Year,6,32,31
Draft Pick Owner - This Year,7,1,0
Draft Pick Owner - This Year,7,2,1
Draft Pick Owner - This Year,7,3,2
Draft Pick Owner - This Year,7,4,3
Draft Pick Owner - This Year,7,5,4
Draft Pick Owner - This Year,7,6,5
Draft Pick Owner - This Year,7,7,6
Draft Pick Owner - This Year,7,8,7
Draft Pick Owner - This Year,7,9,8
Draft Pick Owner - This Year,7,10,9
Draft Pick Owner - This Year,7,11,10
Draft Pick Owner - This Year,7,12,11
Draft Pick Owner - This Year,7,13,12
Draft Pick Owner - This Year,7,14,13
Draft Pick Owner - This Year,7,15,14
Draft Pick Owner - This Year,7,16,15
Draft Pick Owner - This Year,7,17,16
Draft Pick Owner - This Year,7,18,17
Draft Pick Owner - This Year,7,19,18
Draft Pick Owner - This Year,7,20,19
Draft Pick Owner - This Year,7,21,20
Draft Pick Owner - This Year,7,22,21
Draft Pick Owner - This Year,7,23,22
Draft Pick Owner - This Year,7,24,23
Draft Pick Owner - This Year,7,25,24
Draft Pick Owner - This Year,7,26,25
Draft Pick Owner - This Year,7,27,26
Draft Pick Owner - This Year,7,28,27
Draft Pick Owner - This Year,7,29,28
Draft Pick Owner - This Year,7,30,29
Draft Pick Owner - This Year,7,31,30
Draft Pick Owner - This Year,7,32,31
Draft Pick Owner - Next Year,1,1,0
Draft Pick Owner - Next Year,1,2,1
Draft Pick Owner - Next Year,1,3,2
Draft Pick Owner - Next Year,1,4,3
Draft Pick Owner - Next Year,1,5,4
Draft Pick Owner - Next Year,1,6,5
Draft Pick Owner - Next Year,1,7,6
Draft Pick Owner - Next Year,1,8,7
Draft Pick Owner - Next Year,1,9,8
Draft Pick Owner - Next Year,1,10,9
Draft Pick Owner - Next Year,1,11,10
Draft Pick Owner - Next Year,1,12,11
Draft Pick Owner - Next Year,1,13,12
Draft Pick Owner - Next Year,1,14,13
Draft Pick Owner - Next Year,1,15,14
Draft Pick Owner - Next Year,1,16,15
Draft Pick Owner - Next Year,1,17,16
Draft Pick Owner - Next Year,1,18,17
Draft Pick Owner - Next Year,1,19,18
Draft Pick Owner - Next Year,1,20,19
Draft Pick Owner - Next Year,1,21,20
Draft Pick Owner - Next Year,1,22,21
Draft Pick Owner - Next Year,1,23,22
Draft Pick Owner - Next Year,1,24,23
Draft Pick Owner - Next Year,1,25,24
Draft Pick Owner - Next Year,1,26,25
Draft Pick Owner - Next Year,1,27,26
Draft Pick Owner - Next Year,1,28,27
Draft Pick Owner - Next Year,1,29,28
Draft Pick Owner - Next Year,1,30,29
Draft Pick Owner - Next Year,1,31,30
Draft Pick Owner - Next Year,1,32,31
Draft Pick Owner - Next Year,2,1,0
Draft Pick Owner - Next Year,2,2,1
Draft Pick Owner - Next Year,2,3,2
Draft Pick Owner - Next Year,2,4,3
Draft Pick Owner - Next Year,2,5,4
Draft Pick Owner - Next Year,2,6,5
Draft Pick Owner - Next Year,2,7,6
Draft Pick Owner - Next Year,2,8,7
Draft Pick Owner - Next Year,2,9,8
Draft Pick Owner - Next Year,2,10,9
Draft Pick Owner - Next Year,2,11,10
Draft Pick Owner - Next Year,2,12,11
Draft Pick Owner - Next Year,2,13,12
Draft Pick Owner - Next Year,2,14,13
Draft Pick Owner - Next Year,2,15,14
Draft Pick Owner - Next Year,2,16,15
Draft Pick Owner - Next Year,2,17,16
Draft Pick Owner - Next Year,2,18,17
Draft Pick Owner - Next Year,2,19,18
Draft Pick Owner - Next Year,2,20,19
Draft Pick Owner - Next Year,2,21,20
Draft Pick Owner - Next Year,2,22,21
Draft Pick Owner - Next Year,2,23,22
Draft Pick Owner - Next Year,2,24,23
Draft Pick Owner - Next Year,2,25,24
Draft Pick Owner - Next Year,2,26,25
Draft Pick Owner - Next Year,2,27,26
Draft Pick Owner - Next Year,2,28,27
Draft Pick Owner - Next Year,2,29,28
Draft Pick Owner - Next Year,2,30,29
Draft Pick Owner - Next Year,2,31,30
Draft Pick Owner - Next Year,2,32,31
Draft Pick Owner - Next Year,3,1,0
Draft Pick Owner - Next Year,3,2,1
Draft Pick Owner - Next Year,3,3,2
Draft Pick Owner - Next Year,3,4,3
Draft Pick Owner - Next Year,3,5,4
Draft Pick Owner - Next Year,3,6,5
Draft Pick Owner - Next Year,3,7,6
Draft Pick Owner - Next Year,3,8,7
Draft Pick Owner - Next Year,3,9,8
Draft Pick Owner - Next Year,3,10,9
Draft Pick Owner - Next Year,3,11,10
Draft Pick Owner - Next Year,3,12,11
Draft Pick Owner - Next Year,3,13,12
Draft Pick Owner - Next Year,3,14,13
Draft Pick Owner - Next Year,3,15,14
Draft Pick Owner - Next Year,3,16,15
Draft Pick Owner - Next Year,3,17,16
Draft Pick Owner - Next Year,3,18,17
Draft Pick Owner - Next Year,3,19,18
Draft Pick Owner - Next Year,3,20,19
Draft Pick Owner - Next Year,3,21,20
Draft Pick Owner - Next Year,3,22,21
Draft Pick Owner - Next Year,3,23,22
Draft Pick Owner - Next Year,3,24,23
Draft Pick Owner - Next Year,3,25,24
Draft Pick Owner - Next Year,3,26,25
Draft Pick Owner - Next Year,3,27,26
Draft Pick Owner - Next Year,3,28,27
Draft Pick Owner - Next Year,3,29,28
Draft Pick Owner - Next Year,3,30,29
Draft Pick Owner - Next Year,3,31,30
Draft Pick Owner - Next Year,3,32,31
Draft Pick Owner - Next Year,4,1,0
Draft Pick Owner - Next Year,4,2,1
Draft Pick Owner - Next Year,4,3,2
Draft Pick Owner - Next Year,4,4,3
Draft Pick Owner - Next Year,4,5,4
Draft Pick Owner - Next Year,4,6,5
Draft Pick Owner - Next Year,4,7,6
Draft Pick Owner - Next Year,4,8,7
Draft Pick Owner - Next Year,4,9,8
Draft Pick Owner - Next Year,4,10,9
Draft Pick Owner - Next Year,4,11,10
Draft Pick Owner - Next Year,4,12,11
Draft Pick Owner - Next Year,4,13,12
Draft Pick Owner - Next Year,4,14,13
Draft Pick Owner - Next Year,4,15,14
Draft Pick Owner - Next Year,4,16,15
Draft Pick Owner - Next Year,4,17,16
Draft Pick Owner - Next Year,4,18,17
Draft Pick Owner - Next Year,4,19,18
Draft Pick Owner - Next Year,4,20,19
Draft Pick Owner - Next Year,4,21,20
Draft Pick Owner - Next Year,4,22,21
Draft Pick Owner - Next Year,4,23,22
Draft Pick Owner - Next Year,4,24,23
Draft Pick Owner - Next Year,4,25,24
Draft Pick Owner - Next Year,4,26,25
Draft Pick Owner - Next Year,4,27,26
Draft Pick Owner - Next Year,4,28,27
Draft Pick Owner - Next Year,4,29,28
Draft Pick Owner - Next Year,4,30,29
Draft Pick Owner - Next Year,4,31,30
